"service_id";"service_name";"description";"price"
1;"Глэмпинг-номер";"Комфортабельный номер с удобствами на природе.";15000.0
2;"Кемпинг-площадка";"Площадка для установки палатки с доступом к удобствам.";5000.0
3;"Завтрак";"Континентальный завтрак с местными продуктами.";700.0
4;"Ужин";"Ужин из свежих местных продуктов.";1500.0
5;"Эко-экскурсия";"Экскурсия по окрестным природным достопримечательностям.";2500.0
6;"Каякинг";"Прокат каяков и обучение для новичков.";3000.0
7;"Велосипедные прогулки";"Прокат велосипедов на день.";1000.0
8;"Курс по йоге";"Групповые занятия по йоге на свежем воздухе.";1200.0
9;"Массаж";"Расслабляющий массаж на выбор.";2500.0
10;"Услуги гидов";"Частные экскурсии с опытным гидом.";4000.0
11;"Пеший тур";"Организация пешеходного тура по живописным местам.";2000.0
12;"Тур на лошадях";"Поездка на лошадях по живописным маршрутам.";3500.0
13;"Барбекю на природе";"Проведение барбекю с местными деликатесами.";3000.0
14;"Ночной кинотеатр";"Просмотр фильмов под открытым небом.";1000.0
15;"Пикник";"Пакет для пикника с закусками и напитками.";1500.0
16;"Тур по винодельням";"Экскурсия по местным винодельням с дегустацией.";4500.0
17;"Фотосессия";"Профессиональная фотосессия на природе.";3500.0
18;"Семинары и мастер-классы";"Обучающие мероприятия на разные темы.";2500.0
19;"Туристический транспорт";"Трансфер до места проведения глэмпинга.";3000.0
20;"День здоровья";"Услуги по организации здорового дня с активностями.";3500.0
21;"Флора и фауна";"Обзорная экскурсия по местной флоре и фауне.";2000.0
22;"Культурные мероприятия";"Посещение местных культурных мероприятий.";1500.0
23;"Кемпинг-оборудование";"Прокат оборудования для кемпинга.";1000.0
24;"Сувениры";"Продажа местных сувениров и подарков.";500.0
25;"Пожарный вечер";"Вечерние посиделки у костра с песнями.";800.0
26;"Параллельные занятия";"Развлекательные мероприятия для детей и взрослых.";2000.0
27;"Фестивали";"Участие в местных фестивалях и ярмарках.";3000.0
28;"Тур по историческим местам";"Экскурсия по историческим достопримечательностям.";4000.0
29;"Сауна";"Посещение сауны с расслабляющими процедурами.";3000.0
30;"Рыбалка";"Организация рыбалки на местных водоемах.";2000.0
31;"Зимние виды спорта";"Программа для зимних видов спорта и активностей.";5000.0
32;"Кулинарные мастер-классы";"Уроки кулинарии с местными поварами.";3500.0
33;"Природные спа-процедуры";"Услуги спа на природе.";3000.0
34;"Тематические вечеринки";"Организация тематических вечеринок и мероприятий.";2500.0
35;"Чаепитие на природе";"Организация чаепитий с местными травами.";1000.0
36;"Картинг";"Прокат картов на специальной трассе.";3500.0
37;"Рисование на природе";"Мастер-классы по живописи на свежем воздухе.";2000.0
38;"Медитация";"Сессии медитации на природе.";1500.0
39;"Косметические процедуры";"Натуральные процедуры для лица и тела.";2500.0
40;"Туристические пакеты";"Полные пакеты с проживанием и активностями.";10000.0
41;"Сервис доставки еды";"Доставка еды и напитков в глэмпинг.";800.0
42;"Специальные предложения для пар";"Пакеты для романтических пар.";12000.0
43;"Групповые скидки";"Скидки на групповые бронирования.";0.0
44;"Фотографии с дрона";"Профессиональная съемка с дрона.";3000.0
45;"Курс выживания";"Обучение навыкам выживания в дикой природе.";4500.0
46;"Плавание с маской";"Экскурсии для плавания с маской и трубкой.";2500.0
47;"Экологические проекты";"Участие в местных экологических проектах.";1200.0
48;"Экологические проекты";"Участие в местных экологических проектах.";1200.0
